spectrum_index,spectrum_id,ms_level,rt_seconds,polarity,centroid,tic,base_peak_mz,base_peak_intensity,precursor_selected_ion_mz,isolation_window_target_mz,acquisition_mode_hint
0,sample=1 period=1 cycle=1 experiment=1,1,0.075,positive,False,20266.0,133.083335488787,5067.0,,,
1,sample=1 period=1 cycle=2 experiment=1,1,0.16699999997999998,positive,False,207077.0,60.043679650687,3794.0,,,
2,sample=1 period=1 cycle=3 experiment=1,1,0.25900000002,positive,False,213946.0,60.043679650687,3960.0,,,
3,sample=1 period=1 cycle=4 experiment=1,1,0.35100000000000003,positive,False,234652.0,60.043679650687,2934.0,,,
4,sample=1 period=1 cycle=5 experiment=1,1,0.44500000002,positive,False,200999.0,84.079963182705,3113.0,,,
5,sample=1 period=1 cycle=6 experiment=1,1,0.5369999999999999,positive,False,206529.0,60.043679650687,3942.0,,,
6,sample=1 period=1 cycle=7 experiment=1,1,0.62899999998,positive,False,228961.0,60.043679650687,3234.0,,,
7,sample=1 period=1 cycle=8 experiment=1,1,0.72100000002,positive,False,212028.0,60.043679650687,3386.0,,,
8,sample=1 period=1 cycle=9 experiment=1,1,0.8140000000200001,positive,False,212631.0,60.043679650687,3168.0,,,
9,sample=1 period=1 cycle=10 experiment=1,1,0.9070000000199999,positive,False,213255.0,60.043679650687,2931.0,,,
10,sample=1 period=1 cycle=11 experiment=1,1,0.9990000000000001,positive,False,214977.0,60.043679650687,3227.0,,,
11,sample=1 period=1 cycle=12 experiment=1,1,1.09099999998,positive,False,251425.0,60.043679650687,3364.0,,,
12,sample=1 period=1 cycle=13 experiment=1,1,1.185,positive,False,214863.0,60.043679650687,3779.0,,,
13,sample=1 period=1 cycle=14 experiment=1,1,1.2769999999800001,positive,False,211058.0,60.0447668479,2588.0,,,
14,sample=1 period=1 cycle=15 experiment=1,1,1.36900000002,positive,False,214286.0,60.043679650687,3408.0,,,
15,sample=1 period=1 cycle=16 experiment=1,1,1.461,positive,False,219443.0,60.043679650687,3946.0,,,
16,sample=1 period=1 cycle=17 experiment=1,1,1.55500000002,positive,False,217843.0,60.043679650687,3537.0,,,
17,sample=1 period=1 cycle=18 experiment=1,1,1.647,positive,False,222136.0,60.043679650687,3015.0,,,
18,sample=1 period=1 cycle=19 experiment=1,1,1.7389999999799999,positive,False,238467.0,217.107396010512,3449.0,,,
19,sample=1 period=1 cycle=20 experiment=1,1,1.8310000000200002,positive,False,209961.0,60.043679650687,3373.0,,,
20,sample=1 period=1 cycle=21 experiment=1,1,1.92499999998,positive,False,219888.0,60.043679650687,3144.0,,,
21,sample=1 period=1 cycle=22 experiment=1,1,2.01700000002,positive,False,218826.0,60.043679650687,3830.0,,,
22,sample=1 period=1 cycle=23 experiment=1,1,2.109,positive,False,230623.0,60.0447668479,2977.0,,,
23,sample=1 period=1 cycle=24 experiment=1,1,2.20099999998,positive,False,216743.0,60.043679650687,3762.0,,,
24,sample=1 period=1 cycle=25 experiment=1,1,2.2969999999799997,positive,False,228126.0,60.043679650687,3968.0,,,
25,sample=1 period=1 cycle=26 experiment=1,1,2.38900000002,positive,False,208586.0,60.043679650687,3254.0,,,
26,sample=1 period=1 cycle=27 experiment=1,1,2.481,positive,False,244411.0,60.043679650687,3548.0,,,
27,sample=1 period=1 cycle=28 experiment=1,1,2.57599999998,positive,False,217998.0,60.043679650687,2941.0,,,
28,sample=1 period=1 cycle=29 experiment=1,1,2.66899999998,positive,False,223871.0,60.043679650687,3377.0,,,
29,sample=1 period=1 cycle=30 experiment=1,1,2.76100000002,positive,False,212828.0,60.042592463317,2989.0,,,
30,sample=1 period=1 cycle=31 experiment=1,1,2.8570000000199998,positive,False,239518.0,60.043679650687,4014.0,,,
31,sample=1 period=1 cycle=32 experiment=1,1,2.949,positive,False,254290.0,60.043679650687,3656.0,,,
32,sample=1 period=1 cycle=33 experiment=1,1,3.04099999998,positive,False,218463.0,60.043679650687,2911.0,,,
33,sample=1 period=1 cycle=34 experiment=1,1,3.13699999998,positive,False,209471.0,60.043679650687,3068.0,,,
34,sample=1 period=1 cycle=35 experiment=1,1,3.22999999998,positive,False,213896.0,60.043679650687,4402.0,,,
35,sample=1 period=1 cycle=36 experiment=1,1,3.32200000002,positive,False,226722.0,60.043679650687,3825.0,,,
36,sample=1 period=1 cycle=37 experiment=1,1,3.417,positive,False,211527.0,60.043679650687,2835.0,,,
37,sample=1 period=1 cycle=38 experiment=1,1,3.50899999998,positive,False,227073.0,60.043679650687,2770.0,,,
38,sample=1 period=1 cycle=39 experiment=1,1,3.60100000002,positive,False,225012.0,60.043679650687,3474.0,,,
39,sample=1 period=1 cycle=40 experiment=1,1,3.69700000002,positive,False,216549.0,60.043679650687,3204.0,,,
40,sample=1 period=1 cycle=41 experiment=1,1,3.7889999999999997,positive,False,208083.0,60.043679650687,3552.0,,,
41,sample=1 period=1 cycle=42 experiment=1,1,3.88099999998,positive,False,217038.0,60.043679650687,3190.0,,,
42,sample=1 period=1 cycle=43 experiment=1,1,3.9769999999800003,positive,False,221071.0,60.043679650687,3921.0,,,
43,sample=1 period=1 cycle=44 experiment=1,1,4.06999999998,positive,False,221872.0,60.043679650687,3291.0,,,
44,sample=1 period=1 cycle=45 experiment=1,1,4.16200000002,positive,False,227535.0,60.043679650687,3076.0,,,
45,sample=1 period=1 cycle=46 experiment=1,1,4.257,positive,False,205739.0,60.043679650687,3757.0,,,
46,sample=1 period=1 cycle=47 experiment=1,1,4.34899999998,positive,False,208697.0,60.043679650687,2668.0,,,
47,sample=1 period=1 cycle=48 experiment=1,1,4.441000000020001,positive,False,227301.0,60.043679650687,2638.0,,,
48,sample=1 period=1 cycle=49 experiment=1,1,4.53700000002,positive,False,222268.0,60.043679650687,2748.0,,,
49,sample=1 period=1 cycle=50 experiment=1,1,4.629,positive,False,231179.0,60.043679650687,3246.0,,,
50,sample=1 period=1 cycle=51 experiment=1,1,4.72099999998,positive,False,207039.0,60.043679650687,3786.0,,,
51,sample=1 period=1 cycle=52 experiment=1,1,4.81699999998,positive,False,215948.0,60.043679650687,3424.0,,,
52,sample=1 period=1 cycle=53 experiment=1,1,4.90900000002,positive,False,222740.0,60.043679650687,3797.0,,,
53,sample=1 period=1 cycle=54 experiment=1,1,5.0009999999999994,positive,False,216855.0,60.0447668479,3212.0,,,
54,sample=1 period=1 cycle=55 experiment=1,1,5.0969999999999995,positive,False,216333.0,60.0447668479,2445.0,,,
55,sample=1 period=1 cycle=56 experiment=1,1,5.18899999998,positive,False,218770.0,60.043679650687,3182.0,,,
56,sample=1 period=1 cycle=57 experiment=1,1,5.281000000020001,positive,False,234452.0,60.042592463317,2624.0,,,
57,sample=1 period=1 cycle=58 experiment=1,1,5.37700000002,positive,False,218440.0,60.043679650687,3187.0,,,
58,sample=1 period=1 cycle=59 experiment=1,1,5.468999999999999,positive,False,220633.0,60.0447668479,3398.0,,,
59,sample=1 period=1 cycle=60 experiment=1,1,5.56099999998,positive,False,220634.0,60.043679650687,3811.0,,,
60,sample=1 period=1 cycle=61 experiment=1,1,5.65699999998,positive,False,220986.0,60.043679650687,3670.0,,,
61,sample=1 period=1 cycle=62 experiment=1,1,5.7490000000200006,positive,False,235861.0,60.043679650687,2862.0,,,
62,sample=1 period=1 cycle=63 experiment=1,1,5.841,positive,False,219517.0,60.043679650687,3019.0,,,
63,sample=1 period=1 cycle=64 experiment=1,1,5.936999999999999,positive,False,204579.0,60.043679650687,3592.0,,,
64,sample=1 period=1 cycle=65 experiment=1,1,6.02899999998,positive,False,215701.0,60.043679650687,3962.0,,,
65,sample=1 period=1 cycle=66 experiment=1,1,6.12100000002,positive,False,231828.0,60.043679650687,3704.0,,,
66,sample=1 period=1 cycle=67 experiment=1,1,6.21700000002,positive,False,240365.0,60.043679650687,4114.0,,,
67,sample=1 period=1 cycle=68 experiment=1,1,6.308999999999999,positive,False,218272.0,60.042592463317,3355.0,,,
68,sample=1 period=1 cycle=69 experiment=1,1,6.40099999998,positive,False,224401.0,60.043679650687,3072.0,,,
69,sample=1 period=1 cycle=70 experiment=1,1,6.49699999998,positive,False,207073.0,60.042592463317,2705.0,,,
70,sample=1 period=1 cycle=71 experiment=1,1,6.58900000002,positive,False,221828.0,60.043679650687,3937.0,,,
71,sample=1 period=1 cycle=72 experiment=1,1,6.681,positive,False,210083.0,60.043679650687,2843.0,,,
72,sample=1 period=1 cycle=73 experiment=1,1,6.776999999999999,positive,False,212128.0,60.042592463317,3502.0,,,
73,sample=1 period=1 cycle=74 experiment=1,1,6.86899999998,positive,False,215236.0,60.043679650687,3061.0,,,
74,sample=1 period=1 cycle=75 experiment=1,1,6.96100000002,positive,False,230140.0,60.043679650687,2855.0,,,
75,sample=1 period=1 cycle=76 experiment=1,1,7.05700000002,positive,False,233891.0,60.043679650687,4156.0,,,
76,sample=1 period=1 cycle=77 experiment=1,1,7.149,positive,False,260890.0,60.043679650687,4073.0,,,
77,sample=1 period=1 cycle=78 experiment=1,1,7.2409999999800005,positive,False,226386.0,60.043679650687,3506.0,,,
78,sample=1 period=1 cycle=79 experiment=1,1,7.33699999998,positive,False,218771.0,60.0447668479,3293.0,,,
79,sample=1 period=1 cycle=80 experiment=1,1,7.429999999980001,positive,False,208323.0,60.043679650687,3362.0,,,
80,sample=1 period=1 cycle=81 experiment=1,1,7.52200000002,positive,False,234868.0,60.043679650687,3236.0,,,
81,sample=1 period=1 cycle=82 experiment=1,1,7.617000000000001,positive,False,221212.0,60.043679650687,3674.0,,,
82,sample=1 period=1 cycle=83 experiment=1,1,7.70899999998,positive,False,215003.0,60.043679650687,2954.0,,,
83,sample=1 period=1 cycle=84 experiment=1,1,7.801000000020001,positive,False,208135.0,60.0447668479,3172.0,,,
84,sample=1 period=1 cycle=85 experiment=1,1,7.89700000002,positive,False,220168.0,60.043679650687,2966.0,,,
85,sample=1 period=1 cycle=86 experiment=1,1,7.988999999999999,positive,False,215627.0,60.043679650687,3167.0,,,
86,sample=1 period=1 cycle=87 experiment=1,1,8.08099999998,positive,False,218484.0,60.0447668479,2977.0,,,
87,sample=1 period=1 cycle=88 experiment=1,1,8.178,positive,False,221064.0,60.043679650687,3148.0,,,
88,sample=1 period=1 cycle=89 experiment=1,1,8.26999999998,positive,False,210505.0,60.043679650687,2698.0,,,
89,sample=1 period=1 cycle=90 experiment=1,1,8.36200000002,positive,False,206847.0,60.043679650687,3366.0,,,
90,sample=1 period=1 cycle=91 experiment=1,1,8.456999999999999,positive,False,221918.0,60.043679650687,3654.0,,,
91,sample=1 period=1 cycle=92 experiment=1,1,8.548999999980001,positive,False,220519.0,60.043679650687,3816.0,,,
92,sample=1 period=1 cycle=93 experiment=1,1,8.64100000002,positive,False,238422.0,60.0447668479,2551.0,,,
93,sample=1 period=1 cycle=94 experiment=1,1,8.73799999998,positive,False,235348.0,60.043679650687,2978.0,,,
94,sample=1 period=1 cycle=95 experiment=1,1,8.83000000002,positive,False,220376.0,60.043679650687,3164.0,,,
95,sample=1 period=1 cycle=96 experiment=1,1,8.922,positive,False,218929.0,60.043679650687,4024.0,,,
96,sample=1 period=1 cycle=97 experiment=1,1,9.016999999980001,positive,False,217672.0,60.043679650687,3437.0,,,
97,sample=1 period=1 cycle=98 experiment=1,1,9.10900000002,positive,False,231230.0,60.043679650687,3844.0,,,
98,sample=1 period=1 cycle=99 experiment=1,1,9.200999999999999,positive,False,214790.0,60.043679650687,3613.0,,,
99,sample=1 period=1 cycle=100 experiment=1,1,9.297,positive,False,238305.0,60.043679650687,2828.0,,,
100,sample=1 period=1 cycle=101 experiment=1,1,9.38899999998,positive,False,229543.0,60.043679650687,3622.0,,,
101,sample=1 period=1 cycle=102 experiment=1,1,9.48100000002,positive,False,220549.0,60.043679650687,3498.0,,,
102,sample=1 period=1 cycle=103 experiment=1,1,9.57700000002,positive,False,207193.0,60.042592463317,2301.0,,,
103,sample=1 period=1 cycle=104 experiment=1,1,9.668999999999999,positive,False,216330.0,60.043679650687,2313.0,,,
104,sample=1 period=1 cycle=105 experiment=1,1,9.760999999980001,positive,False,230290.0,60.043679650687,2767.0,,,
105,sample=1 period=1 cycle=106 experiment=1,1,9.85699999998,positive,False,203810.0,60.043679650687,3204.0,,,
106,sample=1 period=1 cycle=107 experiment=1,1,9.94999999998,positive,False,216067.0,60.043679650687,2588.0,,,
107,sample=1 period=1 cycle=108 experiment=1,1,10.04200000002,positive,False,232973.0,60.043679650687,3399.0,,,
108,sample=1 period=1 cycle=109 experiment=1,1,10.136999999999999,positive,False,223114.0,60.043679650687,2859.0,,,
109,sample=1 period=1 cycle=110 experiment=1,1,10.228999999980001,positive,False,214664.0,60.043679650687,3218.0,,,
110,sample=1 period=1 cycle=111 experiment=1,1,10.32100000002,positive,False,220877.0,60.043679650687,3501.0,,,
111,sample=1 period=1 cycle=112 experiment=1,1,10.417000000020002,positive,False,213132.0,60.043679650687,3296.0,,,
112,sample=1 period=1 cycle=113 experiment=1,1,10.51000000002,positive,False,222167.0,60.043679650687,3400.0,,,
113,sample=1 period=1 cycle=114 experiment=1,1,10.602,positive,False,221294.0,60.043679650687,3097.0,,,
114,sample=1 period=1 cycle=115 experiment=1,1,10.696999999980001,positive,False,214309.0,60.043679650687,3111.0,,,
115,sample=1 period=1 cycle=116 experiment=1,1,10.789999999980001,positive,False,222675.0,60.043679650687,2633.0,,,
116,sample=1 period=1 cycle=117 experiment=1,1,10.88200000002,positive,False,214013.0,60.043679650687,3413.0,,,
117,sample=1 period=1 cycle=118 experiment=1,1,10.977,positive,False,207474.0,60.0447668479,2799.0,,,
118,sample=1 period=1 cycle=119 experiment=1,1,11.068999999979999,positive,False,255241.0,60.043679650687,3501.0,,,
119,sample=1 period=1 cycle=120 experiment=1,1,11.16100000002,positive,False,215527.0,60.043679650687,3763.0,,,
120,sample=1 period=1 cycle=121 experiment=1,1,11.253,positive,False,220045.0,60.043679650687,2929.0,,,
121,sample=1 period=1 cycle=122 experiment=1,1,11.34700000002,positive,False,230891.0,217.107396010512,2748.0,,,
122,sample=1 period=1 cycle=123 experiment=1,1,11.439,positive,False,203379.0,60.043679650687,3310.0,,,
123,sample=1 period=1 cycle=124 experiment=1,1,11.53099999998,positive,False,221163.0,60.043679650687,3370.0,,,
124,sample=1 period=1 cycle=125 experiment=1,1,11.628,positive,False,221259.0,60.043679650687,3243.0,,,
125,sample=1 period=1 cycle=126 experiment=1,1,11.719999999979999,positive,False,218096.0,60.043679650687,3431.0,,,
126,sample=1 period=1 cycle=127 experiment=1,1,11.812000000020001,positive,False,219989.0,60.043679650687,2891.0,,,
127,sample=1 period=1 cycle=128 experiment=1,1,11.907,positive,False,241306.0,60.043679650687,4017.0,,,
128,sample=1 period=1 cycle=129 experiment=1,1,12.0,positive,False,220503.0,60.043679650687,2881.0,,,
129,sample=1 period=1 cycle=130 experiment=1,1,12.09199999998,positive,False,213021.0,60.043679650687,3612.0,,,
130,sample=1 period=1 cycle=131 experiment=1,1,12.187000000020001,positive,False,222480.0,60.043679650687,2797.0,,,
131,sample=1 period=1 cycle=132 experiment=1,1,12.279,positive,False,239912.0,60.043679650687,2659.0,,,
132,sample=1 period=1 cycle=133 experiment=1,1,12.37099999998,positive,False,233123.0,60.043679650687,3551.0,,,
133,sample=1 period=1 cycle=134 experiment=1,1,12.463000000020001,positive,False,214439.0,60.043679650687,2695.0,,,
134,sample=1 period=1 cycle=135 experiment=1,1,12.55699999998,positive,False,221184.0,60.043679650687,3456.0,,,
135,sample=1 period=1 cycle=136 experiment=1,1,12.64999999998,positive,False,224553.0,60.0447668479,2862.0,,,
136,sample=1 period=1 cycle=137 experiment=1,1,12.742000000019999,positive,False,219523.0,60.043679650687,3676.0,,,
137,sample=1 period=1 cycle=138 experiment=1,1,12.837,positive,False,248770.0,217.107396010512,3238.0,,,
138,sample=1 period=1 cycle=139 experiment=1,1,12.928999999979998,positive,False,216441.0,60.043679650687,2715.0,,,
139,sample=1 period=1 cycle=140 experiment=1,1,13.02100000002,positive,False,214762.0,60.0447668479,2852.0,,,
140,sample=1 period=1 cycle=141 experiment=1,1,13.113,positive,False,212815.0,60.043679650687,3553.0,,,
141,sample=1 period=1 cycle=142 experiment=1,1,13.20700000002,positive,False,225897.0,60.043679650687,4642.0,,,
142,sample=1 period=1 cycle=143 experiment=1,1,13.299000000000001,positive,False,217736.0,60.043679650687,3479.0,,,
143,sample=1 period=1 cycle=144 experiment=1,1,13.39099999998,positive,False,211953.0,60.043679650687,3338.0,,,
144,sample=1 period=1 cycle=145 experiment=1,1,13.483000000019999,positive,False,218931.0,60.043679650687,3707.0,,,
145,sample=1 period=1 cycle=146 experiment=1,1,13.57699999998,positive,False,203228.0,60.043679650687,2990.0,,,
146,sample=1 period=1 cycle=147 experiment=1,1,13.66900000002,positive,False,232872.0,60.043679650687,2919.0,,,
147,sample=1 period=1 cycle=148 experiment=1,1,13.761,positive,False,215496.0,60.043679650687,4170.0,,,
148,sample=1 period=1 cycle=149 experiment=1,1,13.85800000002,positive,False,237598.0,60.043679650687,2974.0,,,
149,sample=1 period=1 cycle=150 experiment=1,1,13.950000000000001,positive,False,208737.0,60.043679650687,2833.0,,,
150,sample=1 period=1 cycle=151 experiment=1,1,14.04199999998,positive,False,207528.0,60.043679650687,3686.0,,,
151,sample=1 period=1 cycle=152 experiment=1,1,14.13700000002,positive,False,238049.0,60.043679650687,3105.0,,,
152,sample=1 period=1 cycle=153 experiment=1,1,14.23000000002,positive,False,212768.0,60.043679650687,3474.0,,,
153,sample=1 period=1 cycle=154 experiment=1,1,14.322,positive,False,213802.0,60.043679650687,3637.0,,,
154,sample=1 period=1 cycle=155 experiment=1,1,14.418000000000001,positive,False,230286.0,60.043679650687,3581.0,,,
155,sample=1 period=1 cycle=156 experiment=1,1,14.50999999998,positive,False,233253.0,60.043679650687,3397.0,,,
156,sample=1 period=1 cycle=157 experiment=1,1,14.60200000002,positive,False,219529.0,60.043679650687,3105.0,,,
157,sample=1 period=1 cycle=158 experiment=1,1,14.697,positive,False,232186.0,60.043679650687,3018.0,,,
158,sample=1 period=1 cycle=159 experiment=1,1,14.79,positive,False,244135.0,217.105328684399,3087.0,,,
159,sample=1 period=1 cycle=160 experiment=1,1,14.881999999980001,positive,False,277390.0,217.107396010512,3291.0,,,
160,sample=1 period=1 cycle=161 experiment=1,1,14.97799999998,positive,False,237622.0,60.0447668479,2937.0,,,
161,sample=1 period=1 cycle=162 experiment=1,1,15.070999999980002,positive,False,232904.0,60.043679650687,2788.0,,,
162,sample=1 period=1 cycle=163 experiment=1,1,15.163000000019998,positive,False,230197.0,60.043679650687,3538.0,,,
163,sample=1 period=1 cycle=164 experiment=1,1,15.258000000000001,positive,False,238260.0,141.957151952859,2901.0,,,
164,sample=1 period=1 cycle=165 experiment=1,1,15.349999999980001,positive,False,264762.0,60.043679650687,3482.0,,,
165,sample=1 period=1 cycle=166 experiment=1,1,15.442000000019998,positive,False,246234.0,60.0447668479,3082.0,,,
166,sample=1 period=1 cycle=166 experiment=2,2,15.702,positive,False,9966.0,32.246380517224,453.0,68.993567103082,68.993567103082,DDA
167,sample=1 period=1 cycle=167 experiment=1,1,15.793999999979999,positive,False,244545.0,60.043679650687,3008.0,,,
168,sample=1 period=1 cycle=168 experiment=1,1,15.88900000002,positive,False,289130.0,141.958823630879,3609.0,,,
169,sample=1 period=1 cycle=169 experiment=1,1,15.980999999999998,positive,False,244081.0,60.043679650687,3722.0,,,
170,sample=1 period=1 cycle=170 experiment=1,1,16.072999999980002,positive,False,255356.0,60.0447668479,2759.0,,,
171,sample=1 period=1 cycle=171 experiment=1,1,16.168999999980002,positive,False,229977.0,60.043679650687,3615.0,,,
172,sample=1 period=1 cycle=172 experiment=1,1,16.261000000019997,positive,False,223294.0,60.043679650687,3444.0,,,
173,sample=1 period=1 cycle=173 experiment=1,1,16.353,positive,False,256574.0,60.0447668479,3039.0,,,
174,sample=1 period=1 cycle=174 experiment=1,1,16.449,positive,False,228279.0,60.043679650687,3089.0,,,
175,sample=1 period=1 cycle=175 experiment=1,1,16.54099999998,positive,False,220280.0,60.043679650687,3448.0,,,
176,sample=1 period=1 cycle=176 experiment=1,1,16.63300000002,positive,False,219090.0,60.043679650687,3376.0,,,
177,sample=1 period=1 cycle=177 experiment=1,1,16.727999999999998,positive,False,241431.0,60.043679650687,3759.0,,,
178,sample=1 period=1 cycle=178 experiment=1,1,16.81999999998,positive,False,243061.0,84.079963182705,2887.0,,,
179,sample=1 period=1 cycle=179 experiment=1,1,16.91200000002,positive,False,239301.0,60.043679650687,3022.0,,,
180,sample=1 period=1 cycle=180 experiment=1,1,17.00800000002,positive,False,220481.0,60.043679650687,3012.0,,,
181,sample=1 period=1 cycle=181 experiment=1,1,17.099999999999998,positive,False,229918.0,60.043679650687,3574.0,,,
182,sample=1 period=1 cycle=182 experiment=1,1,17.191999999980002,positive,False,237602.0,60.043679650687,3251.0,,,
183,sample=1 period=1 cycle=183 experiment=1,1,17.289,positive,False,210361.0,60.0447668479,3209.0,,,
184,sample=1 period=1 cycle=184 experiment=1,1,17.38099999998,positive,False,212427.0,60.0447668479,3512.0,,,
185,sample=1 period=1 cycle=185 experiment=1,1,17.47300000002,positive,False,236691.0,60.043679650687,3308.0,,,
186,sample=1 period=1 cycle=186 experiment=1,1,17.56900000002,positive,False,222911.0,60.0447668479,3157.0,,,
187,sample=1 period=1 cycle=187 experiment=1,1,17.661,positive,False,236144.0,217.109463346467,3596.0,,,
188,sample=1 period=1 cycle=188 experiment=1,1,17.75299999998,positive,False,215551.0,60.043679650687,2876.0,,,
189,sample=1 period=1 cycle=189 experiment=1,1,17.84800000002,positive,False,223770.0,60.0447668479,2643.0,,,
190,sample=1 period=1 cycle=190 experiment=1,1,17.939999999999998,positive,False,226817.0,60.043679650687,2731.0,,,
191,sample=1 period=1 cycle=191 experiment=1,1,18.03199999998,positive,False,213878.0,60.043679650687,3151.0,,,
192,sample=1 period=1 cycle=192 experiment=1,1,18.127999999980002,positive,False,215141.0,217.105328684399,2556.0,,,
193,sample=1 period=1 cycle=193 experiment=1,1,18.22000000002,positive,False,231365.0,60.043679650687,3065.0,,,
194,sample=1 period=1 cycle=194 experiment=1,1,18.312,positive,False,230194.0,60.043679650687,3683.0,,,
195,sample=1 period=1 cycle=195 experiment=1,1,18.40900000002,positive,False,223577.0,60.0447668479,2881.0,,,
196,sample=1 period=1 cycle=196 experiment=1,1,18.501,positive,False,202150.0,60.043679650687,3901.0,,,
197,sample=1 period=1 cycle=197 experiment=1,1,18.59299999998,positive,False,204189.0,60.043679650687,3073.0,,,
198,sample=1 period=1 cycle=198 experiment=1,1,18.68800000002,positive,False,203359.0,60.043679650687,3086.0,,,
199,sample=1 period=1 cycle=199 experiment=1,1,18.78,positive,False,218883.0,60.043679650687,2903.0,,,
