spectrum_index,spectrum_id,ms_level,rt_seconds,polarity,centroid,tic,base_peak_mz,base_peak_intensity,precursor_selected_ion_mz,isolation_window_target_mz,acquisition_mode_hint
0,sample=1 period=1 cycle=218 experiment=1,1,20.073,negative,False,78185.0,61.988411485617,3622.0,,,
1,sample=1 period=1 cycle=219 experiment=1,1,20.16499999998,negative,False,84963.0,61.988411485617,3827.0,,,
2,sample=1 period=1 cycle=220 experiment=1,1,20.25700000002,negative,False,94397.0,61.988411485617,3879.0,,,
3,sample=1 period=1 cycle=221 experiment=1,1,20.35099999998,negative,False,85287.0,61.988411485617,2993.0,,,
4,sample=1 period=1 cycle=222 experiment=1,1,20.44300000002,negative,False,88973.0,61.988411485617,3254.0,,,
5,sample=1 period=1 cycle=223 experiment=1,1,20.53600000002,negative,False,82269.0,61.988411485617,4503.0,,,
6,sample=1 period=1 cycle=224 experiment=1,1,20.62699999998,negative,False,88539.0,61.988411485617,3081.0,,,
7,sample=1 period=1 cycle=225 experiment=1,1,20.719999999979997,negative,False,89563.0,61.988411485617,3324.0,,,
8,sample=1 period=1 cycle=226 experiment=1,1,20.811,negative,False,96599.0,61.989516298457,3748.0,,,
9,sample=1 period=1 cycle=227 experiment=1,1,20.902999999979997,negative,False,84955.0,61.989516298457,3941.0,,,
10,sample=1 period=1 cycle=228 experiment=1,1,20.99500000002,negative,False,83345.0,61.988411485617,3949.0,,,
11,sample=1 period=1 cycle=229 experiment=1,1,21.087,negative,False,90183.0,61.988411485617,3804.0,,,
12,sample=1 period=1 cycle=230 experiment=1,1,21.18,negative,False,86171.0,61.988411485617,4429.0,,,
13,sample=1 period=1 cycle=231 experiment=1,1,21.27100000002,negative,False,87723.0,61.989516298457,3825.0,,,
14,sample=1 period=1 cycle=232 experiment=1,1,21.363,negative,False,80061.0,61.988411485617,3593.0,,,
15,sample=1 period=1 cycle=233 experiment=1,1,21.45499999998,negative,False,82364.0,61.989516298457,3875.0,,,
16,sample=1 period=1 cycle=234 experiment=1,1,21.54799999998,negative,False,86316.0,61.988411485617,3503.0,,,
17,sample=1 period=1 cycle=235 experiment=1,1,21.64099999998,negative,False,90485.0,61.988411485617,3465.0,,,
18,sample=1 period=1 cycle=236 experiment=1,1,21.73300000002,negative,False,92141.0,61.988411485617,3654.0,,,
19,sample=1 period=1 cycle=237 experiment=1,1,21.826000000020002,negative,False,100208.0,61.988411485617,3715.0,,,
20,sample=1 period=1 cycle=238 experiment=1,1,21.91699999998,negative,False,93057.0,248.973930641562,3810.0,,,
21,sample=1 period=1 cycle=239 experiment=1,1,22.009000000020002,negative,False,78440.0,61.988411485617,3285.0,,,
22,sample=1 period=1 cycle=240 experiment=1,1,22.101,negative,False,89367.0,61.989516298457,3999.0,,,
23,sample=1 period=1 cycle=241 experiment=1,1,22.19299999998,negative,False,89098.0,61.988411485617,3510.0,,,
24,sample=1 period=1 cycle=242 experiment=1,1,22.285000000020002,negative,False,90503.0,61.989516298457,3561.0,,,
25,sample=1 period=1 cycle=243 experiment=1,1,22.377,negative,False,85391.0,61.989516298457,3575.0,,,
26,sample=1 period=1 cycle=244 experiment=1,1,22.47,negative,False,87553.0,61.988411485617,3665.0,,,
27,sample=1 period=1 cycle=245 experiment=1,1,22.56100000002,negative,False,91458.0,248.973930641562,3326.0,,,
28,sample=1 period=1 cycle=246 experiment=1,1,22.653,negative,False,87765.0,248.973930641562,3532.0,,,
29,sample=1 period=1 cycle=247 experiment=1,1,22.746,negative,False,89165.0,61.989516298457,4483.0,,,
30,sample=1 period=1 cycle=248 experiment=1,1,22.83700000002,negative,False,96216.0,61.989516298457,3614.0,,,
31,sample=1 period=1 cycle=249 experiment=1,1,22.93000000002,negative,False,81387.0,61.988411485617,4501.0,,,
32,sample=1 period=1 cycle=250 experiment=1,1,23.02099999998,negative,False,78260.0,61.988411485617,3044.0,,,
33,sample=1 period=1 cycle=251 experiment=1,1,23.11300000002,negative,False,89695.0,61.988411485617,4309.0,,,
34,sample=1 period=1 cycle=252 experiment=1,1,23.205,negative,False,79397.0,61.988411485617,3727.0,,,
35,sample=1 period=1 cycle=253 experiment=1,1,23.296999999980002,negative,False,78885.0,61.988411485617,3626.0,,,
36,sample=1 period=1 cycle=254 experiment=1,1,23.389999999980002,negative,False,96196.0,61.988411485617,3843.0,,,
37,sample=1 period=1 cycle=255 experiment=1,1,23.482000000019998,negative,False,92818.0,61.988411485617,3845.0,,,
38,sample=1 period=1 cycle=256 experiment=1,1,23.572999999980002,negative,False,91105.0,61.988411485617,3492.0,,,
39,sample=1 period=1 cycle=257 experiment=1,1,23.665999999980002,negative,False,81532.0,61.988411485617,3603.0,,,
40,sample=1 period=1 cycle=258 experiment=1,1,23.757,negative,False,87201.0,61.988411485617,3075.0,,,
41,sample=1 period=1 cycle=259 experiment=1,1,23.85,negative,False,90236.0,61.989516298457,3938.0,,,
