spectrum_index,spectrum_id,ms_level,rt_seconds,polarity,centroid,tic,base_peak_mz,base_peak_intensity,precursor_selected_ion_mz,isolation_window_target_mz,acquisition_mode_hint
0,sample=1 period=1 cycle=1 experiment=1,1,0.075,positive,True,325240.0,198.095246423347,37926.0,,,
1,sample=1 period=1 cycle=1 experiment=2,2,0.14299999998000001,positive,True,722706.0,42.034084396437,183094.0,105.15,105.15,DDA
2,sample=1 period=1 cycle=1 experiment=3,2,0.18400000002,positive,True,631674.0,166.029298220164,15635.0,202.3,202.3,DDA
3,sample=1 period=1 cycle=1 experiment=4,2,0.22499999999999998,positive,True,169214.0,46.066513730958,2091.0,283.5,283.5,DDA
4,sample=1 period=1 cycle=1 experiment=5,2,0.26599999998,positive,True,409888.0,381.206961836876,5784.0,394.1,394.1,DDA
5,sample=1 period=1 cycle=1 experiment=6,2,0.30700000002,positive,True,382833.0,278.118277165423,2433.0,637.4,637.4,DDA
6,sample=1 period=1 cycle=2 experiment=1,1,0.40300000002,positive,True,773362.0,166.028288941494,22959.0,,,
7,sample=1 period=1 cycle=2 experiment=2,2,0.47299999998000003,positive,True,695701.0,42.034084396437,148669.0,105.15,105.15,DDA
8,sample=1 period=1 cycle=2 experiment=3,2,0.5140000000199999,positive,True,591019.0,166.029298220164,9565.0,202.3,202.3,DDA
9,sample=1 period=1 cycle=2 experiment=4,2,0.5549999999999999,positive,True,158417.0,46.064608988999,2361.0,283.5,283.5,DDA
10,sample=1 period=1 cycle=2 experiment=5,2,0.59599999998,positive,True,551518.0,381.209701512599,9558.0,394.1,394.1,DDA
11,sample=1 period=1 cycle=2 experiment=6,2,0.63700000002,positive,True,530130.0,556.276195144611,5322.0,637.4,637.4,DDA
12,sample=1 period=1 cycle=3 experiment=1,1,0.73300000002,positive,True,767563.0,68.010762625452,21466.0,,,
13,sample=1 period=1 cycle=3 experiment=2,2,0.8029999999799999,positive,True,685175.0,42.034084396437,148778.0,105.15,105.15,DDA
14,sample=1 period=1 cycle=3 experiment=3,2,0.8440000000200001,positive,True,716457.0,166.029298220164,13688.0,202.3,202.3,DDA
15,sample=1 period=1 cycle=3 experiment=4,2,0.885,positive,True,126548.0,46.064608988999,1471.0,283.5,283.5,DDA
16,sample=1 period=1 cycle=3 experiment=5,2,0.9259999999799999,positive,True,452092.0,381.206961836876,5028.0,394.1,394.1,DDA
17,sample=1 period=1 cycle=3 experiment=6,2,0.9670000000199999,positive,True,345437.0,397.184335933101,2802.0,637.4,637.4,DDA
18,sample=1 period=1 cycle=4 experiment=1,1,1.06300000002,positive,True,782030.0,68.010762625452,17468.0,,,
19,sample=1 period=1 cycle=4 experiment=2,2,1.13299999998,positive,True,682617.0,42.034084396437,141877.0,105.15,105.15,DDA
20,sample=1 period=1 cycle=4 experiment=3,2,1.17400000002,positive,True,599928.0,166.029298220164,8566.0,202.3,202.3,DDA
21,sample=1 period=1 cycle=4 experiment=4,2,1.215,positive,True,134924.0,46.064608988999,2024.0,283.5,283.5,DDA
22,sample=1 period=1 cycle=4 experiment=5,2,1.25599999998,positive,True,549060.0,381.206961836876,6878.0,394.1,394.1,DDA
23,sample=1 period=1 cycle=4 experiment=6,2,1.29700000002,positive,True,287073.0,556.272885643273,2150.0,637.4,637.4,DDA
24,sample=1 period=1 cycle=5 experiment=1,1,1.39300000002,positive,True,729505.0,68.011919774036,18246.0,,,
25,sample=1 period=1 cycle=5 experiment=2,2,1.4629999999799999,positive,True,667885.0,42.034084396437,136518.0,105.15,105.15,DDA
26,sample=1 period=1 cycle=5 experiment=3,2,1.50400000002,positive,True,661462.0,166.027490175507,16045.0,202.3,202.3,DDA
27,sample=1 period=1 cycle=5 experiment=4,2,1.545,positive,True,149216.0,46.064608988999,2027.0,283.5,283.5,DDA
28,sample=1 period=1 cycle=5 experiment=5,2,1.5859999999799999,positive,True,420176.0,381.209701512599,5181.0,394.1,394.1,DDA
29,sample=1 period=1 cycle=5 experiment=6,2,1.62700000002,positive,True,313304.0,397.187132432884,2397.0,637.4,637.4,DDA
30,sample=1 period=1 cycle=6 experiment=1,1,1.7230000000199999,positive,True,778263.0,166.028288941494,17049.0,,,
31,sample=1 period=1 cycle=6 experiment=2,2,1.7929999999800001,positive,True,701872.0,42.034084396437,157351.0,105.15,105.15,DDA
32,sample=1 period=1 cycle=6 experiment=3,2,1.83400000002,positive,True,581506.0,166.029298220164,7396.0,202.3,202.3,DDA
33,sample=1 period=1 cycle=6 experiment=4,2,1.875,positive,True,104641.0,46.064608988999,1826.0,283.5,283.5,DDA
34,sample=1 period=1 cycle=6 experiment=5,2,1.91599999998,positive,True,486383.0,381.206961836876,9046.0,394.1,394.1,DDA
35,sample=1 period=1 cycle=6 experiment=6,2,1.9570000000199999,positive,True,446424.0,278.11593707941,4479.0,637.4,637.4,DDA
36,sample=1 period=1 cycle=7 experiment=1,1,2.05300000002,positive,True,791192.0,166.028288941494,21486.0,,,
37,sample=1 period=1 cycle=7 experiment=2,2,2.1229999999799998,positive,True,736919.0,42.034084396437,171172.0,105.15,105.15,DDA
38,sample=1 period=1 cycle=7 experiment=3,2,2.16400000002,positive,True,656091.0,166.029298220164,10191.0,202.3,202.3,DDA
39,sample=1 period=1 cycle=7 experiment=4,2,2.205,positive,True,138563.0,46.063656632786,1845.0,283.5,283.5,DDA
40,sample=1 period=1 cycle=7 experiment=5,2,2.24599999998,positive,True,391991.0,98.983606472246,6945.0,394.1,394.1,DDA
41,sample=1 period=1 cycle=7 experiment=6,2,2.28700000002,positive,True,469187.0,397.187132432884,5194.0,637.4,637.4,DDA
42,sample=1 period=1 cycle=8 experiment=1,1,2.38300000002,positive,True,732386.0,68.010762625452,19966.0,,,
43,sample=1 period=1 cycle=8 experiment=2,2,2.4529999999800003,positive,True,709420.0,42.034084396437,162845.0,105.15,105.15,DDA
44,sample=1 period=1 cycle=8 experiment=3,2,2.4940000000199998,positive,True,683894.0,166.027490175507,10385.0,202.3,202.3,DDA
45,sample=1 period=1 cycle=8 experiment=4,2,2.535,positive,True,138071.0,46.064608988999,1474.0,283.5,283.5,DDA
46,sample=1 period=1 cycle=8 experiment=5,2,2.57599999998,positive,True,556048.0,381.204222170999,10770.0,394.1,394.1,DDA
47,sample=1 period=1 cycle=8 experiment=6,2,2.61700000002,positive,True,339305.0,397.187132432884,2289.0,637.4,637.4,DDA
48,sample=1 period=1 cycle=9 experiment=1,1,2.71300000002,positive,True,732912.0,68.010762625452,19121.0,,,
49,sample=1 period=1 cycle=9 experiment=2,2,2.78299999998,positive,True,688572.0,42.034084396437,144075.0,105.15,105.15,DDA
50,sample=1 period=1 cycle=9 experiment=3,2,2.82400000002,positive,True,620570.0,166.029298220164,11934.0,202.3,202.3,DDA
51,sample=1 period=1 cycle=9 experiment=4,2,2.865,positive,True,131312.0,46.064608988999,2633.0,283.5,283.5,DDA
52,sample=1 period=1 cycle=9 experiment=5,2,2.9059999999799997,positive,True,583377.0,381.206961836876,6576.0,394.1,394.1,DDA
53,sample=1 period=1 cycle=9 experiment=6,2,2.94700000002,positive,True,346326.0,556.276195144611,3315.0,637.4,637.4,DDA
54,sample=1 period=1 cycle=10 experiment=1,1,3.0430000000199997,positive,True,855948.0,68.010762625452,19125.0,,,
